방법,임베딩 생성 시간(s),SVD 분산 설명(%),같은TPO 유사도,다른TPO 유사도,유사도 분리도(gap),Silhouette(↑),Davies-Bouldin(↓),NMI(↑),Precision@10(↑)
TF-IDF+SVD(768),7.8,50.9,0.048,0.031,0.017,0.0239,6.1588,0.0893,0.3575
DistilBERT(768),3.3,-,0.8943,0.888,0.0062,0.0397,3.5483,0.0696,0.2815
