epoch,train_loss,train_auc,val_auc,val_pr_auc,val_f1,lr
1,0.27517973644434673,0.9478146511953606,0.8485013231480674,0.7536013110901028,0.7223097450406714,0.0003
2,0.21031881348946171,0.9666523084113935,0.8611541019477148,0.7733614467010763,0.7478402915213772,0.0003
3,0.1997342232331011,0.9696193534266747,0.867076076346161,0.7827819726593682,0.7536610390821752,0.0003
4,0.1930941684166981,0.9715738515436608,0.8705110268009307,0.786075431869155,0.7574076820406347,0.0003
5,0.18744350735473397,0.9731576668003047,0.8681111002364215,0.783505255379169,0.7588573548506771,0.0003
6,0.18320580218582247,0.9744533807296529,0.8717623168617735,0.786559214150376,0.7625264319205663,0.0003
7,0.17914481069297697,0.975462177948391,0.8727297286264948,0.7907030207683052,0.7622093203762923,0.0003
8,0.1751010430386377,0.9765779167630696,0.8687701088351192,0.7847051953996234,0.7620882649784384,0.0003
9,0.17072696006268775,0.9776865573155566,0.8752409812958989,0.7936240530899035,0.7661072008662696,0.0003
10,0.1673363730567679,0.9786477394276946,0.8722785960206887,0.786632481612105,0.7651548054848917,0.0003
11,0.16408213632551985,0.9794877114589737,0.8723129539102488,0.7884631161725885,0.7659443106748163,0.0003
12,0.16037159250175045,0.980418169213152,0.871810407576547,0.7870484659528468,0.7639857430652409,0.00015
13,0.14931507276815045,0.9830784295291444,0.8708248242675303,0.7842785867359645,0.7659848508080591,0.00015
14,0.1453507881089862,0.9840296440672585,0.8648477791049858,0.7756995710797048,0.7601550340281381,0.00015
