epoch,train_loss,train_auc,val_auc,val_pr_auc,val_f1
1,0.4890021984560886,0.8314771323581134,0.8809457459594991,0.8440289367512936,0.761475041931445
2,0.42331275391415746,0.8796448712121095,0.8958844124581635,0.8615075505421073,0.777925692847634
3,0.40181324741291835,0.8926870459056876,0.9057517146978896,0.8743734621465379,0.790321034978438
4,0.3861507851469218,0.9016115335944239,0.9134256008160835,0.8838731378938232,0.7998788415387125
5,0.37201475282464863,0.9091030831301751,0.9198293235804199,0.8918573856679879,0.8086292570597503
6,0.3607337637751412,0.9148880328170981,0.9247532914558416,0.8980157461269905,0.8161940967093634
7,0.35041512090687327,0.9199423562869408,0.9295827989051308,0.9039163970076534,0.8243058938139308
8,0.3410351217336155,0.9243814066388201,0.9333320692556629,0.9088528165775817,0.8286366728209115
9,0.3338512619426962,0.9277116608078191,0.9361131683029165,0.9124608238626439,0.8308859924104933
10,0.3259828971838897,0.9312503043782266,0.9386045565282616,0.9150483783153691,0.8364014108324878
11,0.31937161047257706,0.9341416219593519,0.9410873871774891,0.9186036679331828,0.8382825887931642
12,0.31300013381690805,0.936832721485005,0.943540188907602,0.921635852779164,0.8439853669033786
13,0.30698054594439633,0.9393475306864477,0.9453742725577574,0.9238882738161164,0.8454007124826008
14,0.30141243365739634,0.9415879483318763,0.9470238007015662,0.9256952580298562,0.8499748641466977
15,0.29733224131659114,0.9432279036226334,0.9483589248970474,0.9273455696757174,0.8513523225450974
16,0.2923921553719288,0.9451532001948076,0.9496858036240792,0.9292432739650267,0.8513068822865739
17,0.2870282784002517,0.9472146123012075,0.9509423765616337,0.9307937492948686,0.8548755560899363
18,0.28264130203897697,0.9488637833382052,0.9524703450108407,0.9326529925539927,0.8581447855118413
19,0.2782273804747705,0.9505092453982587,0.9535515009545734,0.9341684371305361,0.8604662317728319
20,0.27442704385532607,0.9518608464067227,0.9546772849657066,0.9353940692691336,0.8608155395272442
21,0.2710987795186749,0.9530553165718906,0.9556710266260233,0.9369884247543373,0.8628627198933562
22,0.26796548499604833,0.9541694209846627,0.9563683508948578,0.9376736004724537,0.8620429346543996
23,0.26349172678379373,0.9557359380391214,0.9570747620744154,0.9384326675391699,0.8645133831457487
24,0.2602513189467862,0.9568267639588748,0.9581797314170861,0.939935616586295,0.8674832693097533
25,0.25637226886113845,0.9581187785932003,0.9590909010404227,0.941156702917332,0.8695463529865497
